,CentralAmis,SquliqAtayal,Bunun,Paiwan,Puyuma,Rukai,Saisiat,Yami,Tsou
CentralAmis,0,0.064186421,0.038465334,0.037284579,0.041174947,0.050993844,0.064559884,0.06382669,0.056152339
SquliqAtayal,0.064186421,0,0.060063613,0.054070046,0.059895185,0.059556789,0.012231629,0.080612157,0.064715285
Bunun,0.038465334,0.060063613,0,0.033161771,0.037052139,0.046871035,0.060437076,0.059703882,0.052029531
Paiwan,0.037284579,0.054070046,0.033161771,0,0.032993342,0.040877468,0.054443509,0.048796468,0.046035964
Puyuma,0.041174947,0.059895185,0.037052139,0.032993342,0,0.046702607,0.060268648,0.059535453,0.051861103
Rukai,0.050993844,0.059556789,0.046871035,0.040877468,0.046702607,0,0.059930252,0.067419579,0.047263361
Saisiat,0.049401336,0.054762847,0.045278528,0.03928496,0.045110099,0.044771704,0.05513631,0.065827071,0.049930199
Yami,0.06382669,0.080612157,0.059703882,0.048796468,0.059535453,0.067419579,0.08098562,0,0.072578075
Tsou,0.056152339,0.064715285,0.052029531,0.046035964,0.051861103,0.047263361,0.065088748,0.072578075,0
