CantoChorID#,1.Meter,2.No of beats,3.Beat sub-division ,4. No. of sub-beats,5.Syncopation,6.Motivic redundancy ,7.Durational variability ,8.Tonality,9. Mode,10.No. of scale degrees ,11.Hemitonicity ,12.Maximum interval size ,13.Melodic range ,14.Melodic contour ,15.Melisma ,16.Vocables,17. Number of vocal parts ,18.Rhythmic texture ,19.Harmonic interval ,20.Relative contour ,21.Phrase repetition ,22.Phrase length,23.Phrase symmetry,24.Solo/group arrangement ,25.Responsorial relationship ,26. Phrase overlap,5,6,23,24,25,26,28,30,31,32,33,34,35,36,37,Instrument?,"Instruments (a=aerophone,c=chordophone,i=i,m=membranophone)",Function,Ritual,Function notes,Nothing
199,d,a,c,a,0.5,0,0,e,d,0,b,0.5,0,f,0,1,0.5,a,,b,0.5,0.5,1,cb,c,0,0.5,0.25,0.75,0.4,0.5,0.666666667,1,1,1,0.5,0.666666667,0.5,1,0.5,0.75,N,,,,,
30,d,a,c,a,0,1,0,e,e,0.5,b,0.5,0.5,f,1,1,0.5,b,,b,1,0,0,c,c,0.5,0.5,1,0.75,0.8,0.5,1,1,0.5,0.5,0.625,0.333333333,0,0.5,0.5,0.5,N,,Ceremonial,Healing,,
31,d,a,c,a,0.5,1,0,e,d,0.5,b,0.5,1,f,0,1,0.5,b,,b,1,1,0,b,c,0.5,1,1,1,0.8,0.5,1,1,1,1,0.375,0.666666667,0.5,1,0.5,0.5,N,,Ceremonial,Healing,,
37,d,a,c,a,0.5,1,0,e,e,0.5,b,0.5,1,e,0,1,0.5,b,,b,1,0,0,c,c,0.5,1,1,0.75,0.8,0.5,1,0.666666667,1,1,0.25,0.666666667,1,1,0.25,0.75,N,,"Ceremonial, Dance, Drinking",Calendrical,Lyrics in a dead language,
40,d,a,c,a,0.5,1,0,ea,e,0.5,b,0.5,0.5,f,1,1,1,b,,b,1,0.5,0,c,c,0.5,0.5,1,0.75,0.5,0.75,0.666666667,0.666666667,0.5,0.5,0.625,0.333333333,0.25,0.25,0.375,0.75,N,,Ceremonial,Other,,
41,d,a,c,a,0.5,0.5,1,e,d,0.5,b,0.5,1,f,0.5,1,1,b,,b,1,1,0.5,c,c,0,1,1,1,0.8,0.75,1,0.666666667,1,1,0.375,0.666666667,1,1,0.25,0.75,N,,Work,Non-ritual,"""Melody is common to those of the Puyuma""",
39,d,a,c,a,0.5,1,0,e,e,0.5,b,0.5,1,f,0,1,0.5,b,,b,0.5,1,0.5,cb,a,,1,1,0.75,0.6,0.75,1,1,1,0.5,0.375,0.666666667,1,1,0.25,0.75,N,,Unknown,Unknown,,
38,b,,,,,0,0,e,a,0.5,b,0.5,0.5,d,0.5,1,0,,,,1,1,1,c,c,0.5,1,1,0.75,0.4,0.5,0.666666667,0.333333333,1,0.5,0.375,0.666666667,1,1,0.25,0.75,N,,"Ceremonial, Dance, Drinking",Calendrical,Lyrics in a dead language,
688,d,a,c,a,0,1,0,e,d,0.5,b,0.5,1,ef,0,0,0,,,,0.5,0,0,d,a,,0.75,0.75,1,0.6,0.25,1,1,1,1,0.5,0.333333333,0.75,1,0.75,0.5,N,,,,,
763,d,a,c,a,0,1,0,e,d,0.5,b,0.5,0.5,ce,0,0,0,,,,0.5,0.5,0,d,a,,0.75,0.75,1,0.4,0.25,1,1,1,1,0.5,0.333333333,0.75,1,0.5,0.5,N,,,,,
842,b,,c,a,0,1,0.5,e,d,0.5,b,0.5,0.5,e,0,0,0,,,,0.5,0.5,0.5,d,a,,0.75,0.75,1,0.4,0.25,1,1,1,1,0.5,0.333333333,0.75,1,0.5,0.5,N,,,,,
897,d,a,c,a,0,1,0,e,d,0.5,b,0.5,0.5,e,0,0,0,,,,1,0.5,0,d,a,,0.75,0.5,1,0.6,0.25,1,1,1,1,0.75,0.333333333,0.75,0.5,0.5,0.5,N,,,,,
826,d,a,c,a,0,1,0,e,d,0.5,b,0.5,0.5,f,0,0,0,,,,1,0.5,0.5,d,a,,0.75,0.75,1,0.6,0.25,1,1,1,1,0.5,0.333333333,0.75,1,0.5,0.5,N,,,,,
898,d,a,c,a,0,1,0.5,e,d,0.5,b,0.5,1,f,0.5,0,0,,,,1,0.5,0,d,a,,0.75,0.75,0.75,0.6,0.25,1,1,1,1,0.5,0.333333333,0.75,1,0.5,0.5,N,,,,,
