CantoCore ID#,1.Meter,2.No of beats,3.Beat sub-division ,4. No. of sub-beats,5.Syncopation,6.Motivic redundancy ,7.Durational variability ,8.Tonality,9. Mode,10.No. of scale degrees ,11.Hemitonicity ,12.Maximum interval size ,13.Melodic range ,14.Melodic contour ,15.Melisma ,16.Vocables,17. Number of vocal parts ,18.Rhythmic texture ,19.Harmonic interval ,20.Relative contour ,21.Phrase repetition ,22.Phrase length,23.Phrase symmetry,24.Solo/group arrangement ,25.Responsorial relationship ,26. Phrase overlap,5,6,23,24,25,26,28,30,31,32,33,34,35,36,37,Blank,Blank,Blank,Blank,Blank,Blank,Blank,1.Meter,2.No of beats,3.Beat sub-division ,4. No. of sub-beats,5.Syncopation,6.Motivic redundancy ,7.Durational variability ,8.Tonality,9. Mode,10.No. of scale degrees ,11.Hemitonicity ,12.Maximum interval size ,13.Melodic range ,14.Melodic contour ,15.Melisma ,16.Vocables,17. Number of vocal parts ,18.Rhythmic texture ,19.Harmonic interval ,20.Relative contour ,21.Phrase repetition ,22.Phrase length,23.Phrase symmetry,24.Solo/group arrangement ,25.Responsorial relationship ,26. Phrase overlap,5,6,23,24,25,26,28,30,31,32,33,34,35,36,37,Blank,Blank,Blank,Blank,Blank,Blank,Blank,Blank
83,4,1,3,1,1,2,1,5,5,2,2,2,1,6,2,1,2,3,2,3,3,3,1,3,3,1,4,5,5,3,4,4,4,3,3,3,3,4,4,2,2,,,,,,,,4,1,3,2,1,3,2,5,5,2,2,2,2,6,2,1,3,3,2,3,2,3,1,3,1,,4,5,5,4,3,4,3,3,3,4,3,4,5,3,3,,,,,,,,
96,4,1,3,1,3,2,2,5,1,2,2,2,2,5,2,3,1,,,,2,2,1,3,3,1,4,5,5,5,4,4,3,2,3,3,3,4,2,1,5,,,,,,,,4,1,3,1,2,3,1,5,4,2,2,2,2,6,1,3,1,,,,2,2,2,3,3,2,5,5,5,3,4,4,3,3,3,2,3,4,5,2,4,,,,,,,,
106,2,,,,,1,1,5,4,3,1,2,2,6,2,2,2,3,1,3,3,3,2,4,1,,4,4,4,3,3,3,2,1,3,4,3,5,5,2,3,,,,,,,,1,,,,,1,3,5,4,2,1,2,1,6,2,1,1,,,,3,3,1,4,1,,4,2,3,4,2,2,2,2,3,4,1,2,4,4,2,,,,,,,,
107,2,,,,,1,1,5,1,1,2,2,1,1,2,3,3,,,,1,3,1,4,1,,5,3,3,3,3,2,4,3,2,3,3,4,3,3,5,,,,,,,,2,,,,,2,3,5,5,1,2,1,1,1,3,1,2,1,1,1,3,3,2,4,2,3,4,2,3,4,2,2,3,2,3,4,1,2,4,4,2,,,,,,,,
110,2,,,,,2,2,5,1,1,1,1,1,5,1,2,1,,,3,3,3,3,4,1,,4,4,5,4,2,4,4,1,3,4,2,5,2,3,4,,,,,,,,4,1,3,2,1,1,2,5,1,1,2,1,1,1,1,1,1,,,,2,3,2,4,1,,3,3,5,5,2,2,3,3,3,3,1,4,3,4,4,,,,,,,,
113,4,1,1,,2,3,3,5,4,3,2,2,2,5,3,3,1,,,,3,3,2,2,1,,4,4,2,3,4,4,4,3,3,4,4,1,3,2,4,,,,,,,,4,1,3,2,1,3,1,5,2,3,2,2,3,6,2,3,1,,,,2,3,2,2,1,,4,5,4,4,3,4,4,3,3,3,1,2,4,3,3,,,,,,,,
115,2,,,,,3,1,5,1,1,2,1,1,6,1,3,2,,,3,3,2,2,2,3,1,2,2,5,4,4,4,4,3,3,4,4,5,2,3,3,,,,,,,,2,,,,,3,1,5,1,1,2,1,1,1,1,3,1,,,,2,2,2,3,3,1,3,4,5,4,3,3,3,3,3,2,1,2,5,3,3,,,,,,,,
119,4,1,1,,1,1,1,5,4,2,2,2,2,6,2,2,1,,,3,2,3,2,4,1,,4,4,5,4,3,4,4,3,3,3,3,3,4,3,3,,,,,,,,4,1,3,1,1,3,2,5,4,2,2,2,3,6,2,2,1,,,,2,2,2,4,1,,4,4,5,3,2,4,2,3,3,3,2,3,5,3,3,,,,,,,,
123,4,1,1,,2,2,2,5,1,2,2,2,2,6,2,3,1,,,,2,2,2,3,1,,5,5,3,4,2,3,2,3,3,3,3,5,2,2,5,,,,,,,,4,1,3,1,1,2,2,5,4,2,2,2,2,6,2,3,1,,,,2,2,2,3,1,,2,3,5,4,3,3,3,3,3,3,2,4,4,4,3,,,,,,,,
149,2,,,,,1,2,3,,,,3,3,1,3,3,2,,2,3,2,3,3,3,3,1,3,3,4,4,3,3,4,3,3,2,4,3,5,3,2,,,,,,,,2,,,,,2,1,3,,,,2,2,1,2,1,2,3,2,1,2,3,2,2,1,,4,5,3,4,2,2,3,3,3,3,2,5,5,3,3,,,,,,,,
156,2,,,,,2,3,5,4,2,2,2,2,5,3,3,1,,,,2,3,3,3,1,,4,4,2,6,3,4,4,2,3,3,3,2,3,3,3,,,,,,,,2,,,,,1,1,5,4,2,2,2,2,6,2,2,1,,,,2,3,2,3,1,,4,4,3,5,3,4,3,3,2,3,2,4,5,3,2,,,,,,,,
159,2,,,,,2,2,5,4,2,1,2,2,6,2,3,1,,,3,2,3,2,4,1,,3,3,4,4,4,3,3,3,3,3,3,1,3,3,4,,,,,,,,2,,,,,3,1,5,4,2,1,2,2,5,2,3,1,,,,3,2,2,4,1,,4,4,4,3,2,3,4,2,3,3,2,2,5,4,3,,,,,,,,
162,2,,,,,3,1,5,5,1,2,2,2,5,2,2,3,2,,,3,3,1,3,3,1,3,2,3,4,3,4,4,3,3,3,3,2,5,2,4,,,,,,,,2,,,,,3,1,5,5,2,1,2,2,3,2,1,1,,,,2,3,2,3,1,,4,4,4,5,3,3,4,2,3,3,2,2,5,3,4,,,,,,,,
181,2,,,,,3,2,5,5,2,2,2,2,5,2,3,1,,,,3,3,2,3,3,1,2,4,3,4,3,4,4,3,3,4,3,5,3,3,5,,,,,,,,2,,,,,2,2,5,5,2,2,2,2,2,3,1,1,,,,3,3,2,3,1,,3,4,4,4,2,4,3,3,3,3,3,4,5,4,3,,,,,,,,
191,2,,,,,1,1,5,5,2,2,2,3,1,2,3,2,3,,3,3,2,2,3,1,,2,3,3,4,4,4,4,2,3,1,4,2,2,3,3,,,,,,,,4,1,3,1,2,2,1,5,5,2,2,3,3,6,2,3,1,,,,3,3,2,2,1,,4,4,5,5,4,4,3,3,3,2,3,3,5,2,4,,,,,,,,
