,Amis,Atayal,Bunun,Paiwan,Puyuma,Rukai,Saisiyat,Tao,Tsou
Amis,0,,,,,,,,
Atayal,0.0512,0,,,,,,,
Bunun,0.06901,0.06056,0,,,,,,
Paiwan,0.07756,0.04679,0.03798,0,,,,,
Puyuma,0.03177,0.01653,0.04241,0.01974,0,,,,
Rukai,0.08365,0.05133,0.04464,0.00183,0.02328,0,,,
Saisiyat,0.06824,0.03188,0.03315,0.03386,0.01624,0.03797,0,,
Tao,0.109,0.07299,0.05942,0.05033,0.05916,0.06677,0.04256,0,
Tsou,0.0388,0.03624,0.01709,0.02248,0.0174,0.02137,0.02098,0.07695,0
